,School Name,Cohort Year,Cohort Category,Demographic,Total Cohort Num,Total Grads Num,Total Grads Pct of cohort
4572,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2002,4 Year  June,Female,36, -   ,0.00%
4573,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2002,5 Year,Female,36,30,83.30%
4574,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2002,6 Year,Female,36,31,86.10%
4575,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2003,4 Year  June,Female,37,31,83.80%
4576,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2003,5 Year,Female,37,34,91.90%
4577,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2003,6 Year,Female,38,35,92.10%
4578,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2004,4 Year  June,Female,62,51,82.30%
4579,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2004,5 Year,Female,61,54,88.50%
4580,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2004,6 Year,Female,62,55,88.70%
4581,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2005,4 Year  June,Female,33,29,87.90%
4582,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2005,4 Year August,Female,33,29,87.90%
4583,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2005,5 Year,Female,39,33,84.60%
4584,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2005,6 Year,Female,39,33,84.60%
4585,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2006,4 Year  June,Female,52,42,80.80%
4586,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2006,4 Year August,Female,52,42,80.80%
4587,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2006,5 Year  June,Female,60,50,83.30%
4588,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2006,5 Year August,Female,60,50,83.30%
4589,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2007,4 Year  June,Female,49,30,61.20%
4590,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2007,4 Year August,Female,49,30,61.20%
4591,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2002,4 Year  June,Male,16, s ,s
4592,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2002,5 Year,Male,16, s ,s
4593,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2002,6 Year,Male,16, s ,s
4594,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2003,4 Year  June,Male,20, s ,s
4595,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2003,5 Year,Male,20, s ,s
4596,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2003,6 Year,Male,20, s ,s
4597,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2004,4 Year  June,Male,37,19,51.40%
4598,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2004,5 Year,Male,33,23,69.70%
4599,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2004,6 Year,Male,36,25,69.40%
4600,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2005,4 Year  June,Male,38,24,63.20%
4601,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2005,4 Year August,Male,38,24,63.20%
4602,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2005,5 Year,Male,47,31,66.00%
4603,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2005,6 Year,Male,47,32,68.10%
4604,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2006,4 Year  June,Male,50,32,64.00%
4605,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2006,4 Year August,Male,50,32,64.00%
4606,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2006,5 Year  June,Male,63,34,54.00%
4607,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2006,5 Year August,Male,63,34,54.00%
4608,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2007,4 Year  June,Male,60,32,53.30%
4609,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2007,4 Year August,Male,60,32,53.30%
4613,NEW EXPLORERS HIGH SCHOOL,2002,4 Year  June,Female,36,26,72.20%
4614,NEW EXPLORERS HIGH SCHOOL,2002,5 Year,Female,36,27,75.00%
4615,NEW EXPLORERS HIGH SCHOOL,2002,6 Year,Female,36,27,75.00%
4616,NEW EXPLORERS HIGH SCHOOL,2003,4 Year  June,Female,32,16,50.00%
4617,NEW EXPLORERS HIGH SCHOOL,2003,5 Year,Female,32,17,53.10%
4618,NEW EXPLORERS HIGH SCHOOL,2003,6 Year,Female,32,17,53.10%
4619,NEW EXPLORERS HIGH SCHOOL,2004,4 Year  June,Female,34,22,64.70%
4620,NEW EXPLORERS HIGH SCHOOL,2004,5 Year,Female,33,23,69.70%
4621,NEW EXPLORERS HIGH SCHOOL,2004,6 Year,Female,33,24,72.70%
4622,NEW EXPLORERS HIGH SCHOOL,2005,4 Year  June,Female,29,22,75.90%
4623,NEW EXPLORERS HIGH SCHOOL,2005,4 Year August,Female,29,23,79.30%
4624,NEW EXPLORERS HIGH SCHOOL,2005,5 Year,Female,30,23,76.70%
4625,NEW EXPLORERS HIGH SCHOOL,2005,6 Year,Female,30,23,76.70%
4626,NEW EXPLORERS HIGH SCHOOL,2006,4 Year  June,Female,29,13,44.80%
4627,NEW EXPLORERS HIGH SCHOOL,2006,4 Year August,Female,29,16,55.20%
4628,NEW EXPLORERS HIGH SCHOOL,2006,5 Year  June,Female,31,19,61.30%
4629,NEW EXPLORERS HIGH SCHOOL,2006,5 Year August,Female,31,20,64.50%
4630,NEW EXPLORERS HIGH SCHOOL,2007,4 Year  June,Female,31,14,45.20%
4631,NEW EXPLORERS HIGH SCHOOL,2007,4 Year August,Female,31,14,45.20%
4635,NEW EXPLORERS HIGH SCHOOL,2002,4 Year  June,Male,41,27,65.90%
4636,NEW EXPLORERS HIGH SCHOOL,2002,5 Year,Male,41,29,70.70%
4637,NEW EXPLORERS HIGH SCHOOL,2002,6 Year,Male,41,29,70.70%
4638,NEW EXPLORERS HIGH SCHOOL,2003,4 Year  June,Male,41,28,68.30%
4639,NEW EXPLORERS HIGH SCHOOL,2003,5 Year,Male,41,30,73.20%
4640,NEW EXPLORERS HIGH SCHOOL,2003,6 Year,Male,41,30,73.20%
4641,NEW EXPLORERS HIGH SCHOOL,2004,4 Year  June,Male,45,21,46.70%
4642,NEW EXPLORERS HIGH SCHOOL,2004,5 Year,Male,46,28,60.90%
4643,NEW EXPLORERS HIGH SCHOOL,2004,6 Year,Male,46,28,60.90%
4644,NEW EXPLORERS HIGH SCHOOL,2005,4 Year  June,Male,43,29,67.40%
4645,NEW EXPLORERS HIGH SCHOOL,2005,4 Year August,Male,43,29,67.40%
4646,NEW EXPLORERS HIGH SCHOOL,2005,5 Year,Male,44,31,70.50%
4647,NEW EXPLORERS HIGH SCHOOL,2005,6 Year,Male,44,32,72.70%
4648,NEW EXPLORERS HIGH SCHOOL,2006,4 Year  June,Male,52,23,44.20%
4649,NEW EXPLORERS HIGH SCHOOL,2006,4 Year August,Male,52,29,55.80%
4650,NEW EXPLORERS HIGH SCHOOL,2006,5 Year  June,Male,52,34,65.40%
4651,NEW EXPLORERS HIGH SCHOOL,2006,5 Year August,Male,52,36,69.20%
4652,NEW EXPLORERS HIGH SCHOOL,2007,4 Year  June,Male,51,27,52.90%
4653,NEW EXPLORERS HIGH SCHOOL,2007,4 Year August,Male,51,27,52.90%
4654,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2001,4 Year  June,Female,39,36,92.30%
4655,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2001,5 Year,Female,39,37,94.90%
4656,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2001,6 Year,Female,39,37,94.90%
4657,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2002,4 Year  June,Female,40,29,72.50%
4658,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2002,5 Year,Female,40,33,82.50%
4659,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2002,6 Year,Female,40,34,85.00%
4660,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2003,4 Year  June,Female,29,22,75.90%
4661,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2003,5 Year,Female,29,27,93.10%
4662,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2003,6 Year,Female,29,27,93.10%
4663,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2004,4 Year  June,Female,14, s ,s
4664,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2004,5 Year,Female,14, s ,s
4665,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2004,6 Year,Female,14, s ,s
4666,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2005,4 Year  June,Female,10, s ,s
4667,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2005,4 Year August,Female,10, s ,s
4668,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2005,5 Year,Female,10, s ,s
4669,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2005,6 Year,Female,10, s ,s
4670,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2006,4 Year  June,Female,15, s ,s
4671,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2006,4 Year August,Female,15, s ,s
4672,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2006,5 Year  June,Female,15, s ,s
4673,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2006,5 Year August,Female,15, s ,s
4674,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2007,4 Year  June,Female,15, s ,s
4675,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2007,4 Year August,Female,15, s ,s
4676,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2001,4 Year  June,Male,31,25,80.60%
4677,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2001,5 Year,Male,31,27,87.10%
4678,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2001,6 Year,Male,31,27,87.10%
4679,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2002,4 Year  June,Male,41,28,68.30%
4680,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2002,5 Year,Male,41,33,80.50%
4681,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2002,6 Year,Male,41,33,80.50%
4682,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2003,4 Year  June,Male,47,40,85.10%
4683,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2003,5 Year,Male,47,44,93.60%
4684,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2003,6 Year,Male,48,45,93.80%
4685,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2004,4 Year  June,Male,56,51,91.10%
4686,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2004,5 Year,Male,54,52,96.30%
4687,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2004,6 Year,Male,55,53,96.40%
4688,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2005,4 Year  June,Male,62,50,80.60%
4689,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2005,4 Year August,Male,62,57,91.90%
4690,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2005,5 Year,Male,62,59,95.20%
4691,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2005,6 Year,Male,62,59,95.20%
4692,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2006,4 Year  June,Male,67,53,79.10%
4693,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2006,4 Year August,Male,67,60,89.60%
4694,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2006,5 Year  June,Male,68,61,89.70%
4695,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2006,5 Year August,Male,68,62,91.20%
4696,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2007,4 Year  June,Male,67,51,76.10%
4697,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2007,4 Year August,Male,67,57,85.10%
4701,BRONX ACADEMY OF LETTERS,2003,4 Year  June,Female,44,40,90.90%
4702,BRONX ACADEMY OF LETTERS,2003,5 Year,Female,44,41,93.20%
4703,BRONX ACADEMY OF LETTERS,2003,6 Year,Female,44,41,93.20%
4704,BRONX ACADEMY OF LETTERS,2004,4 Year  June,Female,49,40,81.60%
4705,BRONX ACADEMY OF LETTERS,2004,5 Year,Female,49,48,98.00%
4706,BRONX ACADEMY OF LETTERS,2004,6 Year,Female,49,48,98.00%
4707,BRONX ACADEMY OF LETTERS,2005,4 Year  June,Female,41,37,90.20%
4708,BRONX ACADEMY OF LETTERS,2005,4 Year August,Female,41,37,90.20%
4709,BRONX ACADEMY OF LETTERS,2005,5 Year,Female,41,38,92.70%
4710,BRONX ACADEMY OF LETTERS,2005,6 Year,Female,41,38,92.70%
4711,BRONX ACADEMY OF LETTERS,2006,4 Year  June,Female,48,37,77.10%
4712,BRONX ACADEMY OF LETTERS,2006,4 Year August,Female,48,38,79.20%
4713,BRONX ACADEMY OF LETTERS,2006,5 Year  June,Female,47,39,83.00%
4714,BRONX ACADEMY OF LETTERS,2006,5 Year August,Female,47,39,83.00%
4715,BRONX ACADEMY OF LETTERS,2007,4 Year  June,Female,62,60,96.80%
4716,BRONX ACADEMY OF LETTERS,2007,4 Year August,Female,62,60,96.80%
4717,BRONX ACADEMY OF LETTERS,2003,4 Year  June,Male,20, s ,s
4718,BRONX ACADEMY OF LETTERS,2003,5 Year,Male,20, s ,s
4719,BRONX ACADEMY OF LETTERS,2003,6 Year,Male,20, s ,s
4720,BRONX ACADEMY OF LETTERS,2004,4 Year  June,Male,17, s ,s
4721,BRONX ACADEMY OF LETTERS,2004,5 Year,Male,18, s ,s
4722,BRONX ACADEMY OF LETTERS,2004,6 Year,Male,18, s ,s
4723,BRONX ACADEMY OF LETTERS,2005,4 Year  June,Male,28,24,85.70%
4724,BRONX ACADEMY OF LETTERS,2005,4 Year August,Male,28,24,85.70%
4725,BRONX ACADEMY OF LETTERS,2005,5 Year,Male,29,28,96.60%
4726,BRONX ACADEMY OF LETTERS,2005,6 Year,Male,29,28,96.60%
4727,BRONX ACADEMY OF LETTERS,2006,4 Year  June,Male,28,19,67.90%
4728,BRONX ACADEMY OF LETTERS,2006,4 Year August,Male,28,20,71.40%
4729,BRONX ACADEMY OF LETTERS,2006,5 Year  June,Male,28,22,78.60%
4730,BRONX ACADEMY OF LETTERS,2006,5 Year August,Male,28,22,78.60%
4731,BRONX ACADEMY OF LETTERS,2007,4 Year  June,Male,27,13,48.10%
4732,BRONX ACADEMY OF LETTERS,2007,4 Year August,Male,27,14,51.90%
4733,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2001,4 Year  June,Female,21,14,66.70%
4734,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2001,5 Year,Female,21,16,76.20%
4735,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2001,6 Year,Female,21,17,81.00%
4736,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2002,4 Year  June,Female,16, s ,s
4737,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2002,5 Year,Female,16, s ,s
4738,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2002,6 Year,Female,16, s ,s
4739,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2003,4 Year  June,Female,32,18,56.30%
4740,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2003,5 Year,Female,32,19,59.40%
4741,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2003,6 Year,Female,32,20,62.50%
4742,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2004,4 Year  June,Female,37,13,35.10%
4743,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2004,5 Year,Female,37,15,40.50%
4744,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2004,6 Year,Female,37,17,45.90%
4745,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2005,4 Year  June,Female,29,10,34.50%
4746,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2005,4 Year August,Female,29,10,34.50%
4747,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2005,5 Year,Female,28,10,35.70%
4748,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2005,6 Year,Female,28,10,35.70%
4749,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2006,4 Year  June,Female,31,10,32.30%
4750,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2006,4 Year August,Female,31,13,41.90%
4751,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2006,5 Year  June,Female,31,13,41.90%
4752,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2006,5 Year August,Female,31,14,45.20%
4753,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2007,4 Year  June,Female,31,16,51.60%
4754,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2007,4 Year August,Female,31,20,64.50%
4755,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2001,4 Year  June,Male,232,87,37.50%
4756,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2001,5 Year,Male,232,110,47.40%
4757,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2001,6 Year,Male,232,114,49.10%
4758,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2002,4 Year  June,Male,223,103,46.20%
4759,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2002,5 Year,Male,223,125,56.10%
4760,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2002,6 Year,Male,223,131,58.70%
4761,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2003,4 Year  June,Male,183,72,39.30%
4762,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2003,5 Year,Male,183,96,52.50%
4763,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2003,6 Year,Male,183,100,54.60%
4764,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2004,4 Year  June,Male,212,70,33.00%
4765,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2004,5 Year,Male,206,86,41.70%
4766,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2004,6 Year,Male,203,90,44.30%
4767,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2005,4 Year  June,Male,242,104,43.00%
4768,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2005,4 Year August,Male,242,113,46.70%
4769,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2005,5 Year,Male,240,124,51.70%
4770,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2005,6 Year,Male,239,130,54.40%
4771,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2006,4 Year  June,Male,236,99,41.90%
4772,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2006,4 Year August,Male,236,105,44.50%
4773,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2006,5 Year  June,Male,234,115,49.10%
4774,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2006,5 Year August,Male,234,120,51.30%
4775,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2007,4 Year  June,Male,233,98,42.10%
4776,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2007,4 Year August,Male,233,124,53.20%
4777,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2001,4 Year  June,Female,46,32,69.60%
4778,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2001,5 Year,Female,46,35,76.10%
4779,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2001,6 Year,Female,46,37,80.40%
4780,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2002,4 Year  June,Female,50,28,56.00%
4781,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2002,5 Year,Female,50,33,66.00%
4782,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2002,6 Year,Female,50,35,70.00%
4783,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2003,4 Year  June,Female,102,56,54.90%
4784,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2003,5 Year,Female,102,65,63.70%
4785,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2003,6 Year,Female,103,65,63.10%
4786,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2004,4 Year  June,Female,91,50,54.90%
4787,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2004,5 Year,Female,85,52,61.20%
4788,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2004,6 Year,Female,86,53,61.60%
4789,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2005,4 Year  June,Female,61,27,44.30%
4790,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2005,4 Year August,Female,61,33,54.10%
4791,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2005,5 Year,Female,64,37,57.80%
4792,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2005,6 Year,Female,64,37,57.80%
4793,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2006,4 Year  June,Female,94,51,54.30%
4794,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2006,4 Year August,Female,94,52,55.30%
4795,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2006,5 Year  June,Female,92,54,58.70%
4796,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2006,5 Year August,Female,92,54,58.70%
4797,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2007,4 Year  June,Female,69,36,52.20%
4798,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2007,4 Year August,Female,69,40,58.00%
4799,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2001,4 Year  June,Male,244,120,49.20%
4800,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2001,5 Year,Male,244,134,54.90%
4801,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2001,6 Year,Male,244,135,55.30%
4802,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2002,4 Year  June,Male,211,103,48.80%
4803,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2002,5 Year,Male,211,115,54.50%
4804,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2002,6 Year,Male,211,119,56.40%
4805,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2003,4 Year  June,Male,215,99,46.00%
4806,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2003,5 Year,Male,215,114,53.00%
4807,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2003,6 Year,Male,217,116,53.50%
4808,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2004,4 Year  June,Male,222,103,46.40%
4809,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2004,5 Year,Male,224,122,54.50%
4810,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2004,6 Year,Male,221,127,57.50%
4811,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2005,4 Year  June,Male,288,117,40.60%
4812,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2005,4 Year August,Male,288,126,43.80%
4813,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2005,5 Year,Male,288,155,53.80%
4814,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2005,6 Year,Male,287,160,55.70%
4815,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2006,4 Year  June,Male,263,122,46.40%
4816,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2006,4 Year August,Male,263,130,49.40%
4817,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2006,5 Year  June,Male,265,137,51.70%
4818,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2006,5 Year August,Male,265,139,52.50%
4819,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2007,4 Year  June,Male,225,69,30.70%
4820,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2007,4 Year August,Male,225,80,35.60%
4821,HEALTH OPPORTUNITIES HIGH SCHOOL,2001,4 Year  June,Female,80,57,71.30%
4822,HEALTH OPPORTUNITIES HIGH SCHOOL,2001,5 Year,Female,80,62,77.50%
4823,HEALTH OPPORTUNITIES HIGH SCHOOL,2001,6 Year,Female,80,64,80.00%
4824,HEALTH OPPORTUNITIES HIGH SCHOOL,2002,4 Year  June,Female,86,63,73.30%
4825,HEALTH OPPORTUNITIES HIGH SCHOOL,2002,5 Year,Female,86,66,76.70%
4826,HEALTH OPPORTUNITIES HIGH SCHOOL,2002,6 Year,Female,86,67,77.90%
4827,HEALTH OPPORTUNITIES HIGH SCHOOL,2003,4 Year  June,Female,91,57,62.60%
4828,HEALTH OPPORTUNITIES HIGH SCHOOL,2003,5 Year,Female,91,66,72.50%
4829,HEALTH OPPORTUNITIES HIGH SCHOOL,2003,6 Year,Female,93,69,74.20%
4830,HEALTH OPPORTUNITIES HIGH SCHOOL,2004,4 Year  June,Female,106,65,61.30%
4831,HEALTH OPPORTUNITIES HIGH SCHOOL,2004,5 Year,Female,101,74,73.30%
4832,HEALTH OPPORTUNITIES HIGH SCHOOL,2004,6 Year,Female,100,78,78.00%
4833,HEALTH OPPORTUNITIES HIGH SCHOOL,2005,4 Year  June,Female,94,65,69.10%
4834,HEALTH OPPORTUNITIES HIGH SCHOOL,2005,4 Year August,Female,94,66,70.20%
4835,HEALTH OPPORTUNITIES HIGH SCHOOL,2005,5 Year,Female,92,72,78.30%
4836,HEALTH OPPORTUNITIES HIGH SCHOOL,2005,6 Year,Female,92,73,79.30%
4837,HEALTH OPPORTUNITIES HIGH SCHOOL,2006,4 Year  June,Female,94,63,67.00%
4838,HEALTH OPPORTUNITIES HIGH SCHOOL,2006,4 Year August,Female,94,66,70.20%
4839,HEALTH OPPORTUNITIES HIGH SCHOOL,2006,5 Year  June,Female,93,70,75.30%
4840,HEALTH OPPORTUNITIES HIGH SCHOOL,2006,5 Year August,Female,93,71,76.30%
4841,HEALTH OPPORTUNITIES HIGH SCHOOL,2007,4 Year  June,Female,106,85,80.20%
4842,HEALTH OPPORTUNITIES HIGH SCHOOL,2007,4 Year August,Female,106,89,84.00%
4843,HEALTH OPPORTUNITIES HIGH SCHOOL,2001,4 Year  June,Male,28,16,57.10%
